Display Name
Sol
Rigel Kentaurus B
Barnard's Star
Gl 406
Lalande 21185
Sirius
UV Ceti A
Gl 729
18 Epsilon Eridani
Gl 905
Gl 447
Lacaille 9352
EZ Aquarii
Procyon
Gl 725 B
61 Cygni A
GX Andromedae
Epsilon Indi
Luyten's Star
Kapteyn's Star
Lacaille 8760
DO Cephei
V577 Monocerotis A
GJ 1061
FL Virginis A
Gl 563.2B
BD-12°4523
Gl 1
Van Maanen's Star
Hip 15689
Gl 674
Gl 687
Gl 83.1
NN 3522
Innes' Star
NN 3622
Gl 440
Hip 114110
